,htsc_code,time,frequency,open,close,high,low,volume,value
101,000905.SH,2024-07-23 15:59:56,daily,4862.9705,4722.7994,4862.9705,4722.7994,10240371200.0,110578297603.3
102,399852.SZ,2024-07-01 16:29:03,daily,4894.5592,4940.2471,4954.1752,4839.7453,12921932500.0,123312519185.0
103,399852.SZ,2024-07-02 16:29:54,daily,4940.7002,4905.6497,4951.1972,4886.7022,11882798600.0,116969050568.0
104,399852.SZ,2024-07-03 16:29:57,daily,4900.6672,4867.1326,4906.5099,4857.7752,10230030100.0,103816042643.4
105,399852.SZ,2024-07-04 16:29:24,daily,4868.546,4761.868,4883.7366,4745.9085,12120225700.0,107066707375.0
106,399852.SZ,2024-07-05 16:29:18,daily,4753.7335,4810.7939,4828.8428,4711.8681,11060246700.0,100918951124.1
107,399852.SZ,2024-07-08 16:29:15,daily,4801.4891,4693.9648,4801.4891,4679.2848,12354877500.0,109218205975.5
108,399852.SZ,2024-07-09 16:29:24,daily,4689.2748,4797.0634,4810.3222,4645.197,14851118700.0,139660896310.1
109,399852.SZ,2024-07-10 16:29:54,daily,4783.1695,4777.6817,4829.2084,4768.1249,13840154300.0,133173779703.4
110,399852.SZ,2024-07-11 16:29:54,daily,4846.1054,4893.5942,4896.1464,4821.4135,15319046900.0,152871133831.3
111,399852.SZ,2024-07-12 16:29:45,daily,4884.4134,4878.0195,4897.169,4858.3033,13085417900.0,126357791679.3
112,399852.SZ,2024-07-15 16:29:27,daily,4869.0042,4827.6023,4869.0042,4815.407,12641301700.0,116891290149.3
113,399852.SZ,2024-07-16 16:29:48,daily,4815.7386,4836.7184,4845.3491,4786.2143,12089150200.0,119708973121.0
114,399852.SZ,2024-07-17 16:29:48,daily,4834.4409,4795.6236,4842.7213,4786.3476,12042511600.0,121445754615.7
115,399852.SZ,2024-07-18 16:29:57,daily,4763.3035,4812.4263,4822.6187,4714.6011,12172778100.0,126287644105.4
116,399852.SZ,2024-07-19 16:29:30,daily,4788.7709,4821.4227,4854.7069,4778.7137,11264795500.0,120485073177.8
117,399852.SZ,2024-07-22 16:29:27,daily,4822.6393,4826.8713,4848.307,4798.1172,11073212100.0,117656274044.7
