,htsc_code,time,frequency,open,close,high,low,volume,value,open_interest,settle
95,CU2409.SHF,2024-05-23 15:19:46.000,daily,85260.0,83480.0,85470.0,83220.0,60383.0,25471077950.0,80563.0,84360.0
96,CU2409.SHF,2024-05-24 15:18:48.000,daily,83990.0,84330.0,84790.0,83610.0,42836.0,18052954850.0,82944.0,84280.0
97,CU2409.SHF,2024-05-27 15:45:14.500,daily,84010.0,84020.0,84500.0,83800.0,25935.0,10919185900.0,83222.0,84200.0
98,CU2409.SHF,2024-05-28 15:21:36.000,daily,84400.0,85050.0,85850.0,84310.0,33662.0,14343003750.0,88251.0,85210.0
99,CU2409.SHF,2024-05-29 15:19:18.000,daily,85300.0,85950.0,86130.0,84600.0,32525.0,13882789700.0,88707.0,85360.0
100,CU2409.SHF,2024-05-30 15:19:59.500,daily,85140.0,83340.0,85320.0,82890.0,55608.0,23419231150.0,86549.0,84220.0
101,CU2409.SHF,2024-05-31 15:14:22.000,daily,82500.0,82910.0,83030.0,82090.0,45560.0,18829623500.0,88503.0,82650.0
102,CU2409.SHF,2024-06-03 15:26:09.500,daily,82700.0,81900.0,83110.0,81580.0,44175.0,18144555750.0,90263.0,82140.0
103,CU2409.SHF,2024-06-04 15:19:31.000,daily,82350.0,82400.0,82820.0,82030.0,27841.0,11478783950.0,90317.0,82450.0
104,CU2409.SHF,2024-06-05 15:16:34.000,daily,81350.0,80350.0,81410.0,80340.0,47638.0,19266997650.0,94006.0,80880.0
105,CU2409.SHF,2024-06-06 15:24:56.000,daily,80550.0,81560.0,81990.0,80330.0,41731.0,16955616500.0,94040.0,81260.0
106,CU2409.SHF,2024-06-07 15:22:18.500,daily,81760.0,81780.0,82750.0,81610.0,36058.0,14796632100.0,93969.0,82070.0
107,CU2409.SHF,2024-06-11 15:24:28.000,daily,80700.0,80180.0,81020.0,79900.0,43176.0,17361891350.0,93078.0,80420.0
108,CU2409.SHF,2024-06-12 15:46:30.500,daily,79810.0,80140.0,80560.0,79450.0,40651.0,16255593400.0,95900.0,79970.0
109,CU2409.SHF,2024-06-13 15:16:51.500,daily,80900.0,80390.0,81350.0,79510.0,46650.0,18751929750.0,99375.0,80390.0
110,CU2409.SHF,2024-06-14 15:20:53.500,daily,80450.0,79910.0,80550.0,79400.0,28894.0,11564344900.0,99502.0,80040.0
111,CU2409.SHF,2024-06-17 15:21:58.500,daily,79650.0,78400.0,79880.0,78400.0,45866.0,18161095200.0,97364.0,79190.0
112,CU2409.SHF,2024-06-18 15:19:19.000,daily,78100.0,78620.0,79350.0,78100.0,37714.0,14866315850.0,101110.0,78830.0
113,CU2409.SHF,2024-06-19 15:15:21.000,daily,78050.0,79310.0,79320.0,77990.0,36793.0,14487132850.0,103088.0,78740.0
114,CU2409.SHF,2024-06-20 15:20:03.000,daily,79680.0,79760.0,80290.0,79220.0,42844.0,17100433700.0,104229.0,79820.0
115,CU2409.SHF,2024-06-21 15:16:25.500,daily,79890.0,79440.0,80680.0,79410.0,40618.0,16267456800.0,106695.0,80090.0
116,CU2409.SHF,2024-06-24 15:49:14.000,daily,78930.0,78800.0,79300.0,78580.0,41191.0,16250925600.0,106362.0,78900.0
117,CU2409.SHF,2024-06-25 15:13:34.500,daily,78890.0,78790.0,79250.0,78680.0,29683.0,11717053900.0,109798.0,78940.0
118,CU2409.SHF,2024-06-26 15:14:36.000,daily,78500.0,78640.0,78710.0,77700.0,58971.0,23049117600.0,113711.0,78170.0
